Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-06-12,73482.1484375,74058.47901348039,72233.4321895425,72329.48728553922,19246725
2024-06-13,75499.3046875,75883.52506758906,74730.86392732189,75307.19449745548,33763804
2024-06-14,76459.8515625,77324.34737162375,75883.52102308418,76555.90665240264,22926612
2024-06-17,75019.0234375,76363.79466429257,74922.96834987195,76075.62940140844,16123051
2024-06-18,76651.953125,77036.17344141603,75499.29217575188,75595.3472548559,18207598
2024-06-19,77996.734375,79245.45056573277,77324.34873383622,77900.67928340517,24168863
2024-06-20,78380.9609375,78957.29153262867,77996.74054074755,78284.90583831188,20288913
2024-06-21,76844.0703125,77612.511015625,76844.0703125,77516.45592773438,17907523
2024-06-24,77420.40625,77708.57153380894,76363.80020936724,76555.91039857319,15454227
2024-06-25,77612.515625,78573.06656095297,76940.12996983292,77420.4054378094,19088458
2024-06-26,78092.78125,78188.83633148832,76748.01010916359,76940.12027214022,17783242
2024-06-27,78730.5390625,78730.5390625,77669.2205212163,78441.08855124081,11739720
2024-06-28,78634.0625,79019.99654907976,77958.67791411043,79019.99654907976,9455929
2024-07-01,78923.5234375,79212.97401245416,78441.10581257641,78634.07286254584,11317202
2024-07-02,78923.5234375,79695.39163737775,78634.07286254584,79598.90811239304,14471904
2024-07-03,78923.5234375,79405.94106242359,78151.65523762225,79405.94106242359,11440328
2024-07-04,81625.0390625,81721.5225602098,79502.40211288416,79984.8196014332,43857229
2024-07-05,84037.1328125,84037.1328125,82203.9462184271,82589.88023823191,45791193
2024-07-08,84326.5859375,85484.38803275171,83844.16839781178,84809.00347718822,24035809
2024-07-09,84712.515625,85098.44963695899,83844.16409809225,84712.515625,21336201
2024-07-10,84712.515625,84905.48263097949,84037.13110407176,84519.5486190205,17813847
2024-07-11,84519.5546875,85677.35680650685,83651.20309824486,85387.90627675514,24677608
2024-07-12,81432.0859375,83072.30567794728,81142.63539506814,82879.33864965936,26344386
2024-07-15,83651.1953125,84230.09631812284,81142.62428813438,81721.52529375721,25193080
2024-07-16,84616.046875,84905.49743443557,83651.21167688142,83844.17871650514,16166688
2024-07-17,83651.1953125,84905.48082468282,83361.74480968858,84037.12931624857,18186490
2024-07-18,83844.171875,83844.171875,80853.18300489068,80853.18300489068,24721790
2024-07-19,81432.0859375,83072.30567794728,81142.63539506814,82589.8881072275,18569122
2024-07-22,80081.3046875,81914.49118034638,79695.37068900603,81432.07368222892,18987560
2024-07-23,80949.65625,81721.52424761621,80467.23875148987,81239.10674910608,15766389
2024-07-24,79116.484375,80370.77010289635,79020.00085746951,79984.83603277439,16939083
2024-07-25,77572.7421875,78151.64324860074,77283.29165694963,77572.7421875,20323811
2024-07-26,78055.1640625,78441.09812461372,77572.74648485785,77862.19703144314,14508334
2024-07-29,78344.609375,79116.4774476601,78248.1258659175,78730.54341133006,12797136
2024-07-30,78151.640625,78151.640625,77186.80555555555,77572.73958333333,13169636
2024-07-31,80949.65625,80949.65625,78055.15125893921,78344.60175804529,20744323
2024-08-01,80177.7890625,83072.29408280685,80177.7890625,82975.81058212997,20900338
2024-08-02,76800.8671875,78537.570214353,76704.38368600816,78151.63620838568,25800275
2024-08-05,68889.2265625,74195.81964504551,67731.42443539917,74002.85262386205,54608790
2024-08-06,69950.5390625,72652.07712284483,69757.57205818966,72266.14311422413,47295226
2024-08-07,72073.171875,73327.45732931727,70239.98544176707,70432.95243473895,32710428
2024-08-08,70818.890625,71301.30813606948,69950.53910507493,70625.92362057221,28414729
2024-08-09,72073.171875,73134.49033634538,71590.75439257028,73038.00683985944,16388222
2024-08-12,72845.046875,73230.98089817881,72169.66233443709,72555.5963576159,9839259
2024-08-13,73423.9453125,73906.36282440867,72845.0442982096,73809.87932202694,10716261
2024-08-14,74485.2578125,75064.15877995467,74292.29082334845,74678.22480165155,13246168
2024-08-16,77379.765625,77379.765625,75932.51315071696,76607.89763871572,22061478
2024-08-19,75546.5859375,77283.2890625,75257.13541666667,77283.2890625,14146565
2024-08-20,76125.484375,76993.83590779468,75932.5173677123,76704.38539686312,10683836
2024-08-21,75546.5859375,75836.03645833333,75064.16840277778,75160.65190972222,7805598
2024-08-22,75546.5859375,76125.48697916667,75064.16840277778,75932.51996527778,8149101
2024-08-23,74967.6953125,75643.07995495496,74774.72827179858,74967.6953125,9420306
2024-08-26,73423.9453125,75450.09886251643,73327.46181011827,75353.61536013469,15655938
2024-08-27,73134.5,73809.8845646438,72941.53298153034,73038.01649076516,11130145
2024-08-28,73713.390625,73713.390625,72748.55566917539,73134.48965150524,9794514
2024-08-29,71397.7890625,72073.17355363176,70915.37156883445,71011.85506756757,16884479
2024-08-30,71687.25,72362.63458950202,71494.28297442799,71783.733512786,16358520
2024-09-02,71783.71875,72073.16922883065,70915.36731350806,71880.20224294355,12641376
